id,archiveid,archivetitle,archiveviews,archivepostdate,archiveurl,archiveimg,created_at,upload_at
74,eXQvoeKbPXo,【つぐのひ】HA？？？？？？？？【ホロライブ/桃鈴ねね】,120764,2021-02-26T13:52:44Z,https://www.youtube.com/watch?v=eXQvoeKbPXo,http://img.youtube.com/vi/eXQvoeKbPXo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
75,_BqDWHzripE,【Minecraft】IM SO GREAT【ホロライブ/桃鈴ねね】,250532,2021-02-24T07:11:51Z,https://www.youtube.com/watch?v=_BqDWHzripE,http://img.youtube.com/vi/_BqDWHzripE/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
76,efcesf8hq68,【お礼＆雑談】stay up late【ホロライブ/桃鈴ねね】,86736,2021-02-19T16:07:52Z,https://www.youtube.com/watch?v=efcesf8hq68,http://img.youtube.com/vi/efcesf8hq68/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
77,yXz5peiyn1I,【New スーパーマリオブラザーズ U デラックス】逃げるな！【ホロライブ/桃鈴ねね】,108662,2021-02-18T12:38:36Z,https://www.youtube.com/watch?v=yXz5peiyn1I,http://img.youtube.com/vi/yXz5peiyn1I/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
78,dgM9Cb_TJxE,【Minecraft】非常にまったりする【ホロライブ/桃鈴ねね】,151391,2021-02-15T11:35:45Z,https://www.youtube.com/watch?v=dgM9Cb_TJxE,http://img.youtube.com/vi/dgM9Cb_TJxE/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
79,NPqY2Yr_vdo,【雑談歌枠】今日もボイトレ！【桃鈴ねね/ホロライブ】,95329,2021-02-12T14:25:29Z,https://www.youtube.com/watch?v=NPqY2Yr_vdo,http://img.youtube.com/vi/NPqY2Yr_vdo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
80,JLhFWpCuIg4,【APEX】🍑1KILL CHALLENGE🍑【桃鈴ねね/ホロライブ】,112193,2021-02-10T11:24:15Z,https://www.youtube.com/watch?v=JLhFWpCuIg4,http://img.youtube.com/vi/JLhFWpCuIg4/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
81,XmyHd8YFDkw,【昼雑】炭酸でお腹いっぱいにするタイプ【桃鈴ねね/ホロライブ】,127802,2021-02-10T06:20:48Z,https://www.youtube.com/watch?v=XmyHd8YFDkw,http://img.youtube.com/vi/XmyHd8YFDkw/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
82,GJsYspe2200,【Minecraft】COW！！！！！COW!!!!!!!!!!!!!【ホロライブ/桃鈴ねね】,208274,2021-02-09T15:53:56Z,https://www.youtube.com/watch?v=GJsYspe2200,http://img.youtube.com/vi/GJsYspe2200/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
83,64WWD83tdiI,【Cooking Simulator】TODAY IS SWEEEEEEET【ホロライブ/桃鈴ねね】,204983,2021-02-08T14:56:50Z,https://www.youtube.com/watch?v=64WWD83tdiI,http://img.youtube.com/vi/64WWD83tdiI/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
84,v50FB1hYqT0,【歌枠】VERY VERY SINGING【桃鈴ねね/ホロライブ】,233338,2021-02-06T14:51:27Z,https://www.youtube.com/watch?v=v50FB1hYqT0,http://img.youtube.com/vi/v50FB1hYqT0/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
